id,user_id,tipo,titulo,clase,imagen,informacion,numero_pagina,autor,leida,created_at,updated_at
,1,mora,"Medicina en Forma de Fruta","Medicina Natural – Fitoterapia",http://localhost:8000/storage/noticias/1751510907_6865ef7b3b5bd.png,"La mora no solo deleita el paladar, también cura. Su consumo regular puede ayudar a reducir el colesterol, regular el azúcar en la sangre y mejorar la digestión. Las hojas de la planta, preparadas en infusión, se usan como remedio contra la diarrea, el dolor de garganta y las inflamaciones bucales. Rica en taninos, su efecto astringente purifica desde adentro. Es un remedio del pueblo, una medicina ancestral, viva aún en las cocinas de las abuelas.",2,"Andrés Rondón",,"2025-07-02 21:48:27","2025-07-02 21:48:27"
,1,café,"El Oro Negro de las Montañas","Agricultura – Cultivos Tradicionales",,"El café, cuyo nombre científico es Coffea arabica o Coffea canephora (robusta), se cultiva en climas tropicales, usualmente entre los 800 y 2.200 metros sobre el nivel del mar. Colombia, tierra de volcanes y neblina, es una de sus cunas más fértiles. La planta florece en blanco, como un suspiro, y da frutos rojos como rubíes. Cada grano es cosechado a mano, con paciencia de artista. La economía, la cultura y la vida campesina giran en torno a este fruto que, antes de ser bebida, es trabajo y raíz.",2,"Andrés Rondón",,"2025-07-03 07:57:00","2025-07-03 07:57:00"
,1,café,"El Ritual de Cada Amanecer","Cultura – Tradiciones Cotidianas",,"Beber café es más que ingerir cafeína: es un ritual cotidiano, un acto íntimo de pausa y encuentro. En muchas culturas, el primer sorbo del día marca el inicio del pensar, del amar, del resistir. En la casa del abuelo, se sirve negro y fuerte; en la ciudad, con espuma y arte. El café une generaciones, y su aroma tiene la capacidad de traer recuerdos dormidos. Es testigo de conversaciones, silencios y despedidas. Como diría alguien, es la tinta líquida del alma.",3,"Andrés Rondón",,"2025-07-03 07:57:24","2025-07-03 07:57:24"
,1,café,"Ciencia en una Taza","Química – Componentes Naturales",,"El café contiene más de 1.000 compuestos químicos, entre ellos la cafeína, un alcaloide que estimula el sistema nervioso central. También aporta antioxidantes como los polifenoles, que combaten el envejecimiento celular. Estudios sugieren beneficios para la memoria, la concentración y la prevención de enfermedades neurodegenerativas. Pero cuidado: su magia tiene límite, y en exceso puede alterar el sueño y provocar ansiedad. Como todo lo poderoso, debe tomarse con respeto.",4,"Andrés Rondón",,"2025-07-03 07:57:52","2025-07-03 07:57:52"
,1,café,"La Poesía de un Grano Tostado","Arte – Estética Sensorial",,"El café es arte desde su grano hasta su espuma. El tueste transforma su carácter: claro, medio o oscuro, cada perfil revela un universo distinto. El barismo, el arte de prepararlo, se ha elevado a disciplina donde el equilibrio entre temperatura, molienda, presión y tiempo es casi alquimia. El latte art decora la superficie como si el arte flotara. Un buen café es poesía líquida: nos habla de la tierra, del fuego y del tiempo.",5,"Andrés Rondón",,"2025-07-03 07:58:21","2025-07-03 07:58:21"
,1,café,"De la Semilla al Espíritu","Historia – Rutas del Comercio",,"El café tiene su origen en Etiopía, donde una leyenda cuenta que un pastor llamado Kaldi notó que sus cabras danzaban con euforia tras comer ciertas bayas rojas. De ahí viajó a Yemen, luego a Turquía, y más tarde a Europa en el siglo XVII. El mundo árabe lo consideró “vino del Islam” por su capacidad de elevar el espíritu sin embriagar. Las colonias europeas lo llevaron a América, donde encontró su paraíso en las montañas de Colombia y Brasil. Así, el café se convirtió en una mercancía, en un símbolo y en un testimonio del mestizaje global.",6,"Andrés Rondón",,"2025-07-03 07:59:09","2025-07-03 07:59:09"
,1,café,"Café y Filosofía: Pensar con los Ojos Abiertos","Filosofía – Estímulos y Pensamiento Crítico",,"Desde Voltaire hasta Sartre, muchos pensadores encontraron en el café su compañero silencioso. La cafeína estimula la atención y la reflexión sostenida. Por eso, los cafés europeos del siglo XVIII se convirtieron en salones de ideas, donde se gestaban revoluciones con aroma de espresso. El café no sólo despierta el cuerpo, también alienta el debate, la duda, la intuición. Es una chispa que prende antorchas mentales.",7,"Andrés Rondón",,"2025-07-03 07:59:53","2025-07-03 07:59:53"
,1,mora,"Mora: Flor que se Vuelve Sombra Dulce","Biología – Morfología Vegetal",,"Antes de ser fruto, la mora es flor. Pequeña, blanca, a veces rosada, sus pétalos abiertos reciben a las abejas como huéspedes sagradas. Luego, el ovario se divide en múltiples carpelos que se hinchan y oscurecen. Así nace el fruto compuesto: una constelación de pequeñas drupas unidas. Cada semilla es una promesa, y cada mora, una joya salvaje que la planta defiende con espinas. Todo en ella es mensaje: la dulzura requiere cuidado.",9,"Andrés Rondón",,"2025-07-03 08:00:42","2025-07-03 08:00:42"
,1,mora,"Cosecha de Recuerdos: La Mora en la Cultura Popular","Cultura – Tradición Oral y Costumbres",,"La mora es parte del imaginario rural. En canciones campesinas, se le canta como al amor que duele y endulza. En las ferias, se vende en canastos de fique o en botellas de vino casero. Las abuelas la convierten en dulces de olla y en jarabes para el resfriado. En los cuentos, es la fruta del bosque encantado, del niño que se pierde y encuentra en ella el camino. La mora es historia viva en el paladar del pueblo.",10,"Andrés Rondón",,"2025-07-03 08:25:07","2025-07-03 08:25:07"
,1,mora,"Pigmento que Cura y Pinta","Química – Antioxidantes Naturales",,"El color púrpura oscuro de la mora se debe a las antocianinas, potentes antioxidantes que también se encuentran en la uva, la remolacha y el arándano. Estos pigmentos no solo tiñen los labios y las manos, también protegen el corazón, mejoran la visión y reducen el riesgo de cáncer. En laboratorios naturales y cosméticos, se estudia su aplicación en cremas, tintes y protectores solares. La mora pinta y sana con la misma intensidad.",11,"Andrés Rondón",,"2025-07-03 08:25:41","2025-07-03 08:25:41"
